name,teams,teams_cnt,tournaments,countries,finals,first places,spirit of the game,MVP,tournaments organized
Valeria Besedina,['Питер Старс'],1,12,2,5,2,2,1,
Albina Gabitova,['Шерлар'],1,16,2,2,1,4,,1
Salma Hayek,[],0,1,,,,,,
Roma Litovchenko,[],0,2,,,,,,
Vova Matsal,['Шерлар'],1,7,,1,,2,,
Andrey Melnikov,[],0,7,,1,1,1,,1
Vladimir Mozokhin,[],0,7,,1,1,1,,
Vello Nael,[],0,,,,,,,
Kler Nkodia,[],0,2,,1,,,,
Senya Polenok,['ФинУниверситет'],1,21,,3,2,1,2,
Roman Resh,[],0,3,,,,1,,
Bohdan Shestopal,[],0,8,2,1,1,,,
Serega Smetanin,['Сани'],1,3,,,,,,
Piotr Szauderna,[],0,,,,,,,
Neil Thomas,['Вышка'],1,1,,1,,,,
Masha Titenko,['Full Stack'],1,8,,2,1,,,
Kristina Togobetskaia,['КАССΣОПΣЯ'],1,21,,1,1,3,,3
СВОБОДА ULTIMATE,[],0,,,,,,,
Сергей Абдурашидов,['Нова'],1,92,7,36,19,11,1,11
Яна Абрамова,"['СПбГУКИ', 'АтомСвифт']",2,28,,1,1,,,
Александр Авербух,['НГТУ'],1,6,,,,,,
Кира Адиаутулина,"['МПГУ', 'Саус Вест']",2,27,4,7,5,3,,
Павел Ажель,"['Good Vibes', 'Бивни', 'Ми энд Май Манки']",3,14,2,2,1,2,,
Руслан Акбашев,"['Рампейдж', 'Долгорукие', 'Вышка']",3,48,5,7,2,4,,
Евгений Акимов,['Сборная ВлГУ'],1,4,,,,,,
Лиза Акимушкина,[],0,37,,4,1,2,,7
Юлия Акрамова,"['Феникс', 'Космик Гелз', 'ЮПитер']",3,132,15,61,40,25,10,
Денис Аксёненко,[],0,9,,,,1,,
Александр Акшенцев,['Катюша'],1,5,,1,1,1,,
Михаил Алдохин,['G&C'],1,3,,,,,,
Анастасия Алексеева,['SQUEEZY'],1,12,,1,,2,,
Ксения Алексеева,['Фреза'],1,18,,2,1,3,,2
Александр Алымов,"['Звезда', 'К175']",2,39,3,5,3,1,,
Камаль Аль-Мохамед,['Юнион'],1,26,2,4,2,1,1,
Денис Андреев,['ОксиДискО'],1,88,14,27,12,7,5,
Николай Андреев,['Йошкин кэтс'],1,52,,2,1,13,,1
Данил Андронов,[],0,2,,1,1,,,
Александр Анисимов,"['Тени', 'Сокол', 'Флаинг Степс']",3,84,8,34,15,9,2,
Анатолий Анищенко,['ИТМО'],1,5,,3,2,1,,
Софья Антипина,['СПбГУ'],1,5,,1,,,,
Алексей Антипов,['ЮПитер'],1,20,,3,3,,,
Кирилл Антонов,['ОксиДискО'],1,108,17,37,17,11,,
Пиппо Антонов,['ЮПитер'],1,32,7,9,6,,2,
Арина Апетян,"['Элвис Пресли', 'СПбГУ']",2,54,4,10,7,5,1,3
Нина Аркалова,['FireDogs'],1,5,,,,,,1
Игорь Арсеньев,"['Авангард', 'Нижний Новгород', 'Вышка']",3,94,7,37,19,7,3,
Игорь Артёменко,['МГТУ им. Баумана'],1,13,,2,2,1,,
Валерий Архаров,"['Ми энд Май Манки', 'Шерлар']",2,10,,1,,1,,
Екатерина Архипова,['Шерлар'],1,10,,2,,1,,1
Евгений Асанов,['Фри Флай'],1,10,,5,3,2,,
